region,sub_region,latitude,longitude,N,P,K,ph
DSM,Kigamboni,-6.9,39.32,60,35,45,6.2
DSM,Mbagala,-6.95,39.28,58,34,43,6.3
DSM,Kinondoni,-6.75,39.24,55,30,40,6.5
DSM,Mikocheni,-6.76,39.23,54,29,41,6.5
DSM,Temeke,-6.94,39.26,59,33,42,6.3
DSM,Ilala,-6.82,39.28,57,32,44,6.4
DSM,Tabata,-6.85,39.27,56,31,43,6.4
DSM,Sinza,-6.78,39.22,53,29,39,6.5
DSM,Chang'ombe,-6.85,39.29,58,33,41,6.3
DSM,Kawe,-6.72,39.21,54,30,40,6.5
DSM,Upanga,-6.81,39.29,56,32,42,6.4
DSM,Ubungo,-6.84,39.2,55,31,41,6.4
DSM,Mwananyamala,-6.78,39.26,54,30,40,6.4
DSM,Manzese,-6.82,39.23,53,29,39,6.3
DSM,Magomeni,-6.81,39.26,52,28,38,6.3
DSM,Mbezi,-6.78,39.19,57,33,43,6.5
Pwani,Kibaha,-7,38.92,80,50,60,6.8
Pwani,Kibaha Town,-7.01,38.93,78,48,58,6.7
Pwani,Bagamoyo,-6.44,38.9,75,48,55,6.7
Pwani,Chalinze,-6.63,38.55,74,46,53,6.6
Pwani,Kisarawe,-6.85,38.95,82,53,58,6.5
Pwani,Mkuranga,-7.12,39.23,77,50,53,6.6
Pwani,Rufiji,-7.95,39.38,70,45,50,6.4
Pwani,Ikwiriri,-8.01,39.33,69,44,48,6.3
Pwani,Utete,-7.85,39.4,71,46,51,6.4
Pwani,Mailimoja,-6.99,38.95,79,49,59,6.7
Pwani,Matumbo,-7.8,39.25,68,43,47,6.3
Pwani,Kibiti,-7.72,39.2,72,47,52,6.5
Pwani,Konde,-7.69,39.1,74,49,53,6.6
Pwani,Mlandizi,-6.95,38.92,76,48,54,6.6
Pwani,Pangani,-5.42,39.05,65,42,46,6.3
Pwani,Boko,-6.74,39.21,66,44,48,6.4
Pwani,Majohe,-6.85,39.24,68,45,49,6.5
Pwani,Ngerengere,-6.78,38.72,73,47,52,6.6
Pwani,Mkuranga Mzinga,-7.14,39.28,75,48,55,6.5
Pwani,Kiparang’anda,-7.18,39.34,74,47,54,6.4
Pwani,Mkuranga Vikindu,-7.1,39.21,58,34,42,6.4
Pwani,Buguruni,-6.85,39.28,59,35,43,6.5
Pwani,Kimara,-6.8,39.16,57,33,42,6.3
Pwani,Mtoni Kijichi,-6.95,39.28,60,35,44,6.4
Pwani,Msanga,-6.9,39.32,61,36,45,6.3
Pwani,Darajani,-6.96,39.26,77,50,53,6.7
Pwani,Vikindu,-7.11,39.24,79,51,59,6.8
Pwani,Soga,-6.92,38.94,74,47,53,6.6
Pwani,Msata,-6.6,38.65,76,48,55,6.7
Pwani,Kiluvya,-6.93,38.91,73,46,52,6.6
Pwani,Kerege,-6.57,38.87,72,45,51,6.5
Pwani,Pingo,-6.51,38.86,70,44,50,6.4
Pwani,Miono,-6.47,38.91,71,45,51,6.5
Pwani,Buma,-6.41,38.85,71,45,51,6.5
Pwani,Buma,-6.41,38.85,71,45,51,6.5
Pwani,Buma,-6.41,38.85,71,45,51,6.5
Pwani,Buma,-6.41,38.85,71,45,51,6.5
