region,sub_region,latitude,longitude,N,P,K,ph,polygon
Dar es Salaam,Temeke,-6.871536,39.432035,21,16,286,5.62,"-6.871536,39.432035;-6.851536,39.432035;-6.851536,39.452035;-6.871536,39.452035;-6.871536,39.432035"
Dar es Salaam,Temeke,-6.734417,39.531454,26,35,269,7.47,"-6.734417,39.531454;-6.714417,39.531454;-6.714417,39.551454;-6.734417,39.551454;-6.734417,39.531454"
Pwani,Bagamoyo,-6.572759,39.182324,52,23,229,5.75,"-6.572759,39.182324;-6.552759,39.182324;-6.552759,39.202324000000004;-6.572759,39.202324000000004;-6.572759,39.182324"
Pwani,Temeke,-6.73587,38.953309,72,30,297,6.69,"-6.73587,38.953309;-6.715870000000001,38.953309;-6.715870000000001,38.973309;-6.73587,38.973309;-6.73587,38.953309"
Dar es Salaam,Kisarawe,-6.814054,39.006145,52,42,139,5.5,"-6.814054,39.006145;-6.794054,39.006145;-6.794054,39.026145;-6.814054,39.026145;-6.814054,39.006145"
Pwani,Bagamoyo,-6.729273,39.406644,80,22,243,6.02,"-6.729273,39.406644;-6.7092730000000005,39.406644;-6.7092730000000005,39.426644;-6.729273,39.426644;-6.729273,39.406644"
Pwani,Kinondoni,-6.507104,39.466849,42,39,271,6.11,"-6.507104,39.466849;-6.487104,39.466849;-6.487104,39.48684900000001;-6.507104,39.48684900000001;-6.507104,39.466849"
Dar es Salaam,Kibaha,-6.828454,39.372158,46,39,150,6.26,"-6.828454,39.372158;-6.808454,39.372158;-6.808454,39.392158;-6.828454,39.392158;-6.828454,39.372158"
Dar es Salaam,Kinondoni,-6.881875,39.500452,29,49,169,7.33,"-6.881875,39.500452;-6.861875,39.500452;-6.861875,39.520452000000006;-6.881875,39.520452000000006;-6.881875,39.500452"
Dar es Salaam,Bagamoyo,-6.817835,39.375599,67,20,295,6.36,"-6.817835,39.375599;-6.797835,39.375599;-6.797835,39.395599000000004;-6.817835,39.395599000000004;-6.817835,39.375599"
Dar es Salaam,Ilala,-6.664087,39.157783,39,10,137,5.94,"-6.664087,39.157783;-6.644087000000001,39.157783;-6.644087000000001,39.177783000000005;-6.664087,39.177783000000005;-6.664087,39.157783"
Dar es Salaam,Kibaha,-6.521202,38.958491,72,22,178,5.99,"-6.521202,38.958491;-6.501202,38.958491;-6.501202,38.978491000000005;-6.521202,38.978491000000005;-6.521202,38.958491"
Dar es Salaam,Bagamoyo,-6.964128,39.225137,22,50,256,6.59,"-6.964128,39.225137;-6.944128,39.225137;-6.944128,39.245137;-6.964128,39.245137;-6.964128,39.225137"
Dar es Salaam,Temeke,-6.997145,38.906322,70,10,161,5.98,"-6.997145,38.906322;-6.977145,38.906322;-6.977145,38.926322000000006;-6.997145,38.926322000000006;-6.997145,38.906322"
Dar es Salaam,Kisarawe,-6.65548,39.256742,27,38,283,6.87,"-6.65548,39.256742;-6.63548,39.256742;-6.63548,39.276742000000006;-6.65548,39.276742000000006;-6.65548,39.256742"
Pwani,Ilala,-6.518752,38.985762,62,12,225,6.05,"-6.518752,38.985762;-6.4987520000000005,38.985762;-6.4987520000000005,39.005762000000004;-6.518752,39.005762000000004;-6.518752,38.985762"
Dar es Salaam,Kisarawe,-6.56343,39.463535,41,48,264,7.4,"-6.56343,39.463535;-6.543430000000001,39.463535;-6.543430000000001,39.483535;-6.56343,39.483535;-6.56343,39.463535"
Dar es Salaam,Ilala,-6.543672,39.329379,48,17,287,6.09,"-6.543672,39.329379;-6.523672,39.329379;-6.523672,39.349379000000006;-6.543672,39.349379000000006;-6.543672,39.329379"
Dar es Salaam,Kibaha,-6.602138,39.329124,33,32,170,5.86,"-6.602138,39.329124;-6.5821380000000005,39.329124;-6.5821380000000005,39.349124;-6.602138,39.349124;-6.602138,39.329124"
Dar es Salaam,Temeke,-6.840743,39.544209,41,28,227,6.2,"-6.840743,39.544209;-6.820743,39.544209;-6.820743,39.564209000000005;-6.840743,39.564209000000005;-6.840743,39.544209"
Dar es Salaam,Bagamoyo,-6.70011,39.560237,59,11,113,5.66,"-6.70011,39.560237;-6.68011,39.560237;-6.68011,39.580237000000004;-6.70011,39.580237000000004;-6.70011,39.560237"
Pwani,Kinondoni,-6.835858,39.32008,63,43,114,6.68,"-6.835858,39.32008;-6.815858,39.32008;-6.815858,39.34008;-6.835858,39.34008;-6.835858,39.32008"
Pwani,Ilala,-6.706224,39.579549,62,41,117,5.57,"-6.706224,39.579549;-6.686224,39.579549;-6.686224,39.599549;-6.706224,39.599549;-6.706224,39.579549"
Pwani,Temeke,-6.956531,39.259309,53,47,138,5.7,"-6.956531,39.259309;-6.9365310000000004,39.259309;-6.9365310000000004,39.279309000000005;-6.956531,39.279309000000005;-6.956531,39.259309"
Pwani,Bagamoyo,-6.530656,39.275681,68,18,224,7.47,"-6.530656,39.275681;-6.510656,39.275681;-6.510656,39.295681;-6.530656,39.295681;-6.530656,39.275681"
Dar es Salaam,Kisarawe,-6.836629,38.899324,45,48,283,7.34,"-6.836629,38.899324;-6.816629000000001,38.899324;-6.816629000000001,38.919324;-6.836629,38.919324;-6.836629,38.899324"
Pwani,Kibaha,-6.654332,39.02844,38,49,150,6.42,"-6.654332,39.02844;-6.634332000000001,39.02844;-6.634332000000001,39.04844000000001;-6.654332,39.04844000000001;-6.654332,39.02844"
Pwani,Temeke,-6.822763,39.310327,25,33,296,7.3,"-6.822763,39.310327;-6.802763000000001,39.310327;-6.802763000000001,39.330327000000004;-6.822763,39.330327000000004;-6.822763,39.310327"
Dar es Salaam,Ilala,-6.704441,39.322464,51,48,245,5.64,"-6.704441,39.322464;-6.6844410000000005,39.322464;-6.6844410000000005,39.342464;-6.704441,39.342464;-6.704441,39.322464"
Pwani,Ilala,-6.511498,39.302026,61,45,126,7.37,"-6.511498,39.302026;-6.491498,39.302026;-6.491498,39.322026;-6.511498,39.322026;-6.511498,39.302026"
Dar es Salaam,Ilala,-6.624997,39.344066,37,21,112,6.92,"-6.624997,39.344066;-6.604997,39.344066;-6.604997,39.364066;-6.624997,39.364066;-6.624997,39.344066"
Pwani,Kibaha,-6.635996,39.075227,78,47,149,7.04,"-6.635996,39.075227;-6.615996,39.075227;-6.615996,39.095227;-6.635996,39.095227;-6.635996,39.075227"
Pwani,Ilala,-6.787302,39.05254,24,11,212,7.39,"-6.787302,39.05254;-6.767302000000001,39.05254;-6.767302000000001,39.072540000000004;-6.787302,39.072540000000004;-6.787302,39.05254"
Dar es Salaam,Kinondoni,-6.864103,38.833889,43,32,200,7.47,"-6.864103,38.833889;-6.8441030000000005,38.833889;-6.8441030000000005,38.853889;-6.864103,38.853889;-6.864103,38.833889"
Dar es Salaam,Temeke,-6.504427,39.216597,39,40,129,7.08,"-6.504427,39.216597;-6.484427,39.216597;-6.484427,39.236597;-6.504427,39.236597;-6.504427,39.216597"
Pwani,Bagamoyo,-6.871653,39.481511,60,17,257,5.56,"-6.871653,39.481511;-6.851653000000001,39.481511;-6.851653000000001,39.501511;-6.871653,39.501511;-6.871653,39.481511"
